"""call_number""","""unit_id""","""incident_number""","""call_type""","""call_date""","""watch_date""","""received_dttm""","""entry_dttm""","""dispatch_dttm""","""response_dttm""","""on_scene_dttm""","""transport_dttm""","""hospital_dttm""","""call_final_disposition""","""available_dttm""","""address""","""city""","""zipcode_of_incident""","""battalion""","""station_area""","""box""","""original_priority""","""priority""","""final_priority""","""als_unit""","""call_type_group""","""number_of_alarms""","""unit_type""","""unit_sequence_in_call_dispatch""","""fire_prevention_district""","""supervisor_district""","""neighborhoods_analysis_boundaries""","""rowid""","""case_location""","""data_as_of""","""data_loaded_at""",""":@computed_region_ajp5_b2md"""
"""063240270""","""M09""","""06091528""","""Medical Incident""","""2006-11-20T00:00:00.000""","""2006-11-20T00:00:00.000""","""2006-11-20T16:07:27.000""","""2006-11-20T16:08:24.000""","""2006-11-20T16:08:43.000""","""2006-11-20T16:10:25.000""","""2006-11-20T16:13:40.000""","""2006-11-20T16:30:53.000""","""2006-11-20T16:41:49.000""","""Code 2 Transport""","""2006-11-20T17:04:35.000""","""WILLS ST/CATALINA ST/MIDDLE POINT RD""","""SF""","""94124""","""B10""","""25""","""6556""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""10""","""10""","""Bayview Hunters Point""","""063240270-M09""","""POINT (-122.37942 37.73627)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""1"""
"""063270017""","""E05""","""06092168""","""Medical Incident""","""2006-11-23T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-23T01:50:47.000""","""2006-11-23T01:53:04.000""","""2006-11-23T01:53:35.000""","""2006-11-23T01:55:31.000""","""2006-11-23T01:56:19.000""",,,"""Other""","""2006-11-23T02:15:10.000""","""MCALLISTER ST/FILLMORE ST""","""SF""","""94115""","""B05""","""05""","""3534""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""5""","""5""","""Western Addition""","""063270017-E05""","""POINT (-122.43176 37.778633)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""39"""
"""063250105""","""E34""","""06091702""","""Medical Incident""","""2006-11-21T00:00:00.000""","""2006-11-21T00:00:00.000""","""2006-11-21T09:27:25.000""","""2006-11-21T09:28:47.000""","""2006-11-21T09:29:32.000""","""2006-11-21T09:31:23.000""","""2006-11-21T09:32:46.000""",,,"""Other""","""2006-11-21T09:42:44.000""","""35TH AVE/ANZA ST""","""SF""","""94121""","""B07""","""34""","""7251""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""2""","""7""","""1""","""Outer Richmond""","""063250105-E34""","""POINT (-122.49531 37.777676)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""29"""
"""063190269""","""95""","""06090144""","""Traffic Collision""","""2006-11-15T00:00:00.000""","""2006-11-15T00:00:00.000""","""2006-11-15T16:10:59.000""","""2006-11-15T16:10:59.000""","""2006-11-15T16:11:22.000""","""2006-11-15T16:12:59.000""","""2006-11-15T16:20:52.000""",,,"""No Merit""","""2006-11-15T16:26:58.000""","""FILLMORE ST/HAIGHT ST""","""SF""","""94117""","""B05""","""06""","""3526""","""2""","""2""","""2""","""true""",,"""1""","""MEDIC""","""2""","""2""","""5""","""Hayes Valley""","""063190269-95""","""POINT (-122.430435 37.77211)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""9"""
"""063210301""","""E42""","""06090712""","""Medical Incident""","""2006-11-17T00:00:00.000""","""2006-11-17T00:00:00.000""","""2006-11-17T19:47:34.000""","""2006-11-17T19:50:40.000""","""2006-11-17T19:50:50.000""","""2006-11-17T19:51:24.000""","""2006-11-17T19:53:35.000""",,,"""Other""","""2006-11-17T19:56:22.000""","""PERALTA AVE/CORTLAND AVE""","""SF""","""94110""","""B10""","""42""","""6374""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""10""","""9""","""Bernal Heights""","""063210301-E42""","""POINT (-122.40888 37.73968)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""2"""
"""063200124""","""RS1""","""06090310""","""Structure Fire / Smoke in Building""","""2006-11-16T00:00:00.000""","""2006-11-16T00:00:00.000""","""2006-11-16T10:26:47.000""","""2006-11-16T10:27:53.000""","""2006-11-16T10:28:05.000""","""2006-11-16T10:29:38.000""",,,,"""Other""","""2006-11-16T10:33:27.000""","""QUINT ST/OAKDALE AVE""","""SF""","""94124""","""B10""","""17""","""6537""","""3""","""3""","""3""","""false""",,"""1""","""RESCUE SQUAD""","""9""","""10""","""10""","""Bayview Hunters Point""","""063200124-RS1""","""POINT (-122.39594 37.737785)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""1"""
"""063250326""","""M07""","""06091862""","""Medical Incident""","""2006-11-21T00:00:00.000""","""2006-11-21T00:00:00.000""","""2006-11-21T19:38:51.000""","""2006-11-21T19:44:15.000""","""2006-11-21T19:44:37.000""","""2006-11-21T19:46:25.000""","""2006-11-21T19:47:28.000""","""2006-11-21T20:03:35.000""","""2006-11-21T20:08:02.000""","""Code 2 Transport""","""2006-11-21T20:36:45.000""","""VALENCIA ST/20TH ST""","""SF""","""94110""","""B06""","""07""","""5456""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""6""","""9""","""Mission""","""063250326-M07""","""POINT (-122.42127 37.7585)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063280108""","""86""","""06092518""","""Medical Incident""","""2006-11-24T00:00:00.000""","""2006-11-24T00:00:00.000""","""2006-11-24T10:34:41.000""","""2006-11-24T10:37:27.000""","""2006-11-24T10:38:09.000""","""2006-11-24T10:41:56.000""","""2006-11-24T11:10:50.000""","""2006-11-24T11:23:03.000""","""2006-11-24T11:57:49.000""","""Code 2 Transport""","""2006-11-24T12:14:43.000""","""GOUGH ST/PAGE ST""","""SF""","""94102""","""B02""","""36""","""3313""","""1""","""1""","""2""","""true""",,"""1""","""MEDIC""","""1""","""2""","""5""","""Hayes Valley""","""063280108-86""","""POINT (-122.42241 37.774086)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""9"""
"""063260260""","""T03""","""06092099""","""Medical Incident""","""2006-11-22T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-22T18:54:35.000""","""2006-11-22T18:56:20.000""","""2006-11-22T18:56:28.000""",,,,,"""Other""","""2006-11-22T18:57:32.000""","""LARKIN ST/GOLDEN GATE AVE""","""SF""","""94102""","""B02""","""03""","""1644""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""3""","""2""","""6""","""Tenderloin""","""063260260-T03""","""POINT (-122.417145 37.78145)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063270238""","""E16""","""06092335""","""Traffic Collision""","""2006-11-23T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-23T15:44:42.000""","""2006-11-23T15:44:42.000""","""2006-11-23T15:46:45.000""","""2006-11-23T15:47:58.000""","""2006-11-23T15:50:31.000""",,,"""Other""","""2006-11-23T16:08:03.000""","""BAKER ST/MARINA BLVD""","""SF""","""94123""","""B04""","""16""","""4323""","""2""","""2""","""2""","""false""",,"""1""","""ENGINE""","""1""","""4""","""2""","""Marina""","""063270238-E16""","""POINT (-122.44729 37.80516)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""13"""
